canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
linecfbp_kford,KFord,1136.0,1108,530.0,578.0,22.0,-96.1818181818182,12.18661971830986,-0.06285211267605624,0.47833935018050544,-0.08680669510994422,0.4490518824396135,3.0,73.0,7,7,Midweek,mae,,,,
linecfbp_john_harris,John Harris,621.0,599,304.0,295.0,12.0,-18.636363636363644,12.25523349436393,0.011433172302737306,0.5075125208681135,-0.031112460160874197,0.46755592678739744,2.0,51.0,8,7,Midweek,mae,,,,
linecfbp_power_rank,Power Rank,2156.0,2099,1052.0,1047.0,35.0,-90.63636363636367,12.479730983302412,0.05505565862708717,0.5011910433539781,-0.04318073541513276,0.4798184208704356,5.0,12.0,9,7,Midweek,mae,,,,
linecfbp_matt_grissom,Matt Grissom,621.0,607,297.0,310.0,12.0,-40.00000000000001,12.48792270531401,0.04057971014492745,0.48929159802306427,-0.06589785831960462,0.44971700598173103,2.0,72.0,10,7,Midweek,mae,,,,
dokter_entropy,Dokter Entropy,3228.0,3169,1538.0,1631.0,51.0,-232.81818181818187,12.520179677819083,-0.026177199504337015,0.48532660145156203,-0.07346739722883619,0.4679540683272024,5.0,49.0,11,7,Midweek,mae,,,,
espn_fpi,ESPN FPI,3229.0,3173,1570.0,1603.0,51.0,-175.72727272727278,12.540154846701766,-0.012654072468256413,0.49479987393633784,-0.055382058848809576,0.4774202745155738,5.0,21.0,12,7,Midweek,mae,,,,
teamrankings,TeamRankings.com,3229.0,3140,1524.0,1616.0,51.0,-230.5454545454546,12.583521213998141,0.05556209352740782,0.4853503184713376,-0.07342211928199191,0.4678978725920888,5.0,50.0,13,7,Midweek,mae,,,,
sagarin,Sagarin Ratings,3229.0,3173,1552.0,1621.0,51.0,-210.09090909090912,12.598513471663052,-0.043053576958810735,0.4891270091396155,-0.06621207346073404,0.4717574366952912,5.0,36.0,14,7,Midweek,mae,,,,
linecfbp_sp,SP+,2158.0,2102,1060.0,1042.0,35.0,-78.36363636363639,12.602131603336423,-0.016867469879518152,0.5042816365366318,-0.03728051206643025,0.4829193281005728,5.0,8.0,15,7,Midweek,mae,,,,
piratings_mean,Pi-Ratings Mean,3229.0,3136,1557.0,1579.0,51.0,-163.5454545454546,12.620294208733354,0.013852585939919521,0.49649234693877553,-0.05215097402597404,0.4790080981222476,5.0,16.0,16,7,Midweek,mae,,,,
sagarin_predictor,Sagarin Predictor,3229.0,3172,1574.0,1598.0,51.0,-167.09090909090915,12.64401672344379,-0.03684422421802422,0.4962168978562421,-0.052676831365355975,0.4788324072042897,5.0,17.0,17,7,Midweek,mae,,,,
linecfbp_sportsline,SportsLine,1136.0,1079,531.0,548.0,22.0,-65.2727272727273,12.649647887323944,0.11619718309859155,0.49212233549582945,-0.06049372314432557,0.46237321360006195,3.0,62.0,18,7,Midweek,mae,,,,
linecfbp_tshoe_index,TShoe Index,1652.0,1563,782.0,781.0,28.0,-70.09090909090911,12.657869249394675,-0.13740920096852294,0.5003198976327575,-0.04484383179200838,0.4755616879135549,4.0,26.0,19,7,Midweek,mae,,,,
linept_donchess,Donchess Inference,3229.0,3111,1559.0,1552.0,51.0,-134.72727272727278,12.670678228553731,0.007754722824403811,0.5011250401800065,-0.0433067414745332,0.48356468321212165,5.0,7.0,20,7,Midweek,mae,,,,
harville,David Harville,3229.0,3174,1573.0,1601.0,51.0,-171.00000000000003,12.676571694022915,0.1154691855063488,0.49558916194076874,-0.05387523629489604,0.4782110786930457,5.0,19.0,21,7,Midweek,mae,,,,
linecfbp_jp,JP+,1652.0,1606,817.0,789.0,28.0,-46.272727272727295,12.70230024213075,-0.2685230024213075,0.5087173100871731,-0.02881240801539682,0.4842756637410603,4.0,5.0,22,7,Midweek,mae,,,,
piratings,Pi-Ratings,3229.0,3151,1566.0,1585.0,51.0,-161.3636363636364,12.707841436977391,0.042917311861257294,0.49698508410028563,-0.05121029399036382,0.47954172790947863,5.0,15.0,23,7,Midweek,mae,,,,
