fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
1,wilson,10,10,Midweek,0.1370068931488295,0.9630302681180772,0.13717343495187106,0.9653227212314931,0.03235283410360482,1425,10
1,wilson,15,15,Midweek,0.1370068931488295,0.9630302681180772,0.13745251429570166,0.9443463180946572,-0.11644703204181853,1425,15
1,wilson,20,20,Midweek,0.1370068931488295,0.9630302681180772,0.13787769607418268,0.9410081400749268,-0.15188144216664673,1425,20
1,wilson,25,25,Midweek,0.1370068931488295,0.9630302681180772,0.13452745149071382,0.9469840782783603,-0.12554352134989938,1425,25
1,wilson,35,35,Midweek,0.1370068931488295,0.9630302681180772,0.12883362660484643,0.9430479694470424,-0.16813491899434171,1425,35
1,wilson,999,All,Midweek,0.1370068931488295,0.9630302681180772,0.12803897918093268,0.942879506972038,-0.20291693460810797,1425,60
1,mae,3,3,Midweek,0.14407201568244474,0.9632754201904696,0.15411568993054067,0.9659999497716757,0.06116958837163697,1424,3
1,mae,5,5,Midweek,0.1370068931488295,0.9630302681180772,0.1396674895136001,0.9633302055780295,0.015905216845254644,1425,5
1,mae,8,8,Midweek,0.1370068931488295,0.9630302681180772,0.14258535429417743,0.9642141624192501,0.0349419279376634,1425,8
1,mae,10,10,Midweek,0.1370068931488295,0.9630302681180772,0.15064289025614291,0.9652615638330021,0.07145754429829487,1425,10
1,mae,15,15,Midweek,0.1370068931488295,0.9630302681180772,0.14872123311885566,0.9651800001124469,0.06203606638254436,1425,15
1,mae,20,20,Midweek,0.1370068931488295,0.9630302681180772,0.1337636795479519,0.9620530193660927,-0.019182982218378775,1425,20
1,mae,25,25,Midweek,0.1370068931488295,0.9630302681180772,0.13283506659213312,0.9614590764881203,-0.024806081090137294,1425,25
1,mae,35,35,Midweek,0.1370068931488295,0.9630302681180772,0.1282742965291307,0.9580740113974382,-0.0685719860832337,1425,35
1,mae,999,All,Midweek,0.1370068931488295,0.9630302681180772,0.12803897918093296,0.9428795069720397,-0.2029169346081072,1425,60
1,incremental,3,3,Midweek,0.5704582937268982,0.9175125608978,0.5686114514148718,0.9119639956523796,-0.022062319688898713,427,3
1,incremental,5,5,Midweek,0.5262632583205468,0.9284969766175188,0.5393635495256819,0.9434457313758688,0.06307791075911878,429,5
1,incremental,8,8,Midweek,0.14407201568244474,0.9632754201904696,0.15808842982727173,0.9754416856483852,0.06862115159281831,1424,8
1,incremental,10,10,Midweek,0.1370068931488295,0.9630302681180772,0.14745843319135382,0.9729525696602843,0.06631692576493461,1425,10
1,incremental,15,15,Midweek,0.1370068931488295,0.9630302681180772,0.15560045728392116,0.9777033303833631,0.12751404189770013,1425,15
1,incremental,20,20,Midweek,0.1370068931488295,0.9630302681180772,0.14946166563575566,0.9770129969702207,0.10669877944995576,1425,20
1,incremental,25,25,Midweek,0.1370068931488295,0.9630302681180772,0.1388901507530758,0.967691629658848,0.03482701843383718,1425,25
1,incremental,35,35,Midweek,0.1370068931488295,0.9630302681180772,0.1328963675898017,0.9543928002606679,-0.05853077618947584,1425,35
1,incremental,999,All,Midweek,0.1370068931488295,0.9630302681180772,0.1280389791809328,0.9428795069720385,-0.20291693460810706,1425,60
1,wilson,3,3,Close (PT Updated/final),0.1620106738897461,0.9608862249401965,0.16247513684605044,0.9613248439842552,0.006651300250824811,1418,3
1,wilson,5,5,Close (PT Updated/final),0.1620106738897461,0.9608862249401965,0.1591692001674486,0.9627506326016452,0.024148805252433625,1418,5
1,wilson,8,8,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17446944531832947,0.9651464146541384,0.0129777524722339,1425,8
1,wilson,10,10,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17716404401597705,0.9619176539697568,-0.03409729296805425,1425,10
1,wilson,15,15,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1748185205059837,0.959149943788124,-0.05057148359279763,1425,15
1,wilson,20,20,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17668758191117728,0.9520073582974853,-0.08679193737899314,1425,20
1,wilson,25,25,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17519854495122827,0.9498212070395494,-0.10928662048225563,1425,25
