ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
mae,8,8,Midweek,≤-7,11,-8.014642857142857,-0.045454545454545456,8.0
mae,8,8,Midweek,-7 to -4,122,-5.038010343481655,-2.6475409836065573,-3.5
mae,8,8,Midweek,-4 to -2,311,-2.862974085132445,-1.4469453376205788,0.0
mae,8,8,Midweek,-2 to 0,601,-0.9374187861500674,-1.043261231281198,0.0
mae,8,8,Midweek,0 to 2,575,0.922722463768116,0.2843478260869565,0.0
mae,8,8,Midweek,2 to 4,330,2.8592337662337663,0.996969696969697,-0.5
mae,8,8,Midweek,4 to 7,114,4.830430242272349,-0.17982456140350878,-0.5
mae,8,8,Midweek,≥7,16,9.386953125,-1.3125,-3.0
mae,8,8,Open,≤-7,6,-8.043125,-9.833333333333334,-15.0
mae,8,8,Open,-7 to -4,116,-4.947959770114942,-3.2543103448275863,-3.75
mae,8,8,Open,-4 to -2,315,-2.805927437641723,-1.434920634920635,-0.5
mae,8,8,Open,-2 to 0,563,-0.9640385266006937,-0.27175843694493784,0.5
mae,8,8,Open,0 to 2,640,0.9343812313988096,-0.259375,-0.25
mae,8,8,Open,2 to 4,327,2.877497633610019,0.3394495412844037,0.0
mae,8,8,Open,4 to 7,99,4.932834896584898,1.3888888888888888,0.0
mae,8,8,Open,≥7,14,8.353388605442175,6.178571428571429,4.75
mae,10,10,Close (PT Updated/final),≤-7,16,-8.752173611111111,3.75,5.25
mae,10,10,Close (PT Updated/final),-7 to -4,131,-5.09895250212044,-3.0,-3.5
mae,10,10,Close (PT Updated/final),-4 to -2,330,-2.869319696969697,-0.31666666666666665,0.0
mae,10,10,Close (PT Updated/final),-2 to 0,687,-0.9323028465146368,-0.9032023289665211,-0.5
mae,10,10,Close (PT Updated/final),0 to 2,669,0.947707606709849,0.6905829596412556,0.5
mae,10,10,Close (PT Updated/final),2 to 4,351,2.8239876543209874,0.2934472934472934,-0.5
mae,10,10,Close (PT Updated/final),4 to 7,118,4.9750692090395505,0.1059322033898305,0.5
mae,10,10,Close (PT Updated/final),≥7,21,9.182936507936507,-2.2142857142857144,-4.0
mae,10,10,Midweek,≤-7,16,-8.218277777777779,-4.0625,-9.75
mae,10,10,Midweek,-7 to -4,122,-5.151451730418943,-1.971311475409836,-2.25
mae,10,10,Midweek,-4 to -2,327,-2.8634123343527014,-0.17889908256880735,0.0
mae,10,10,Midweek,-2 to 0,714,-0.9548986150015562,-0.8172268907563025,-0.5
mae,10,10,Midweek,0 to 2,651,0.9366501962792286,0.22657450076804916,0.0
mae,10,10,Midweek,2 to 4,360,2.8328726851851855,0.7152777777777778,-0.5
mae,10,10,Midweek,4 to 7,114,4.836540935672515,0.2850877192982456,1.0
mae,10,10,Midweek,≥7,19,13.258666666666665,1.4736842105263157,-4.0
mae,10,10,Open,≤-7,11,-8.033333333333335,-12.409090909090908,-14.0
mae,10,10,Open,-7 to -4,112,-4.933591269841271,-2.3526785714285716,-3.25
mae,10,10,Open,-4 to -2,331,-2.8349961396441756,-0.2552870090634441,0.5
mae,10,10,Open,-2 to 0,684,-0.9247381416504225,-0.1871345029239766,0.0
