source_row,season,week,away,home,picker,candidate_matches,reason
1927,2023,3,Middle Tennessee,Missouri,Sagarin: Golden,0,no_match
1928,2023,3,Middle Tennessee,Missouri,Sagarin: Predictor,0,no_match
1929,2023,3,Middle Tennessee,Missouri,Sagarin: Recent,0,no_match
1930,2023,3,Middle Tennessee,Missouri,SportsLine,0,no_match
1931,2023,3,Middle Tennessee,Missouri,TShoe Index,0,no_match
1932,2023,3,Middle Tennessee,Missouri,TeamRankings,0,no_match
1933,2023,3,Middle Tennessee,Missouri,Wilson Ratings,0,no_match
2036,2023,3,North Texas,Florida International,Beta_Rank,0,no_match
2037,2023,3,North Texas,Florida International,Blake Atkinson,0,no_match
2038,2023,3,North Texas,Florida International,CBCR2: Power,0,no_match
2039,2023,3,North Texas,Florida International,CBCR2: Sam,0,no_match
2040,2023,3,North Texas,Florida International,CFB Geek,0,no_match
2041,2023,3,North Texas,Florida International,CFB Graphs,0,no_match
2042,2023,3,North Texas,Florida International,Congrove,0,no_match
2043,2023,3,North Texas,Florida International,DRatings,0,no_match
2044,2023,3,North Texas,Florida International,Dokter Entropy,0,no_match
2045,2023,3,North Texas,Florida International,ESPN FPI,0,no_match
2046,2023,3,North Texas,Florida International,FEI,0,no_match
2047,2023,3,North Texas,Florida International,Harville,0,no_match
2048,2023,3,North Texas,Florida International,JP+,0,no_match
2049,2023,3,North Texas,Florida International,KFord,0,no_match
2050,2023,3,North Texas,Florida International,Keeper,0,no_match
2051,2023,3,North Texas,Florida International,Massey,0,no_match
2052,2023,3,North Texas,Florida International,Moore Ratings,0,no_match
2053,2023,3,North Texas,Florida International,OddsTrader AI,0,no_match
2054,2023,3,North Texas,Florida International,PiRate,0,no_match
2055,2023,3,North Texas,Florida International,PiRate: Bias,0,no_match
2056,2023,3,North Texas,Florida International,PiRate: Mean,0,no_match
2057,2023,3,North Texas,Florida International,Power Rank,0,no_match
2058,2023,3,North Texas,Florida International,Power Rank: Free,0,no_match
2059,2023,3,North Texas,Florida International,Professor Sides,0,no_match
2060,2023,3,North Texas,Florida International,Room44 Bets,0,no_match
2061,2023,3,North Texas,Florida International,SP+,0,no_match
2062,2023,3,North Texas,Florida International,Sagarin,0,no_match
2063,2023,3,North Texas,Florida International,Sagarin: Golden,0,no_match
2064,2023,3,North Texas,Florida International,Sagarin: Predictor,0,no_match
2065,2023,3,North Texas,Florida International,Sagarin: Recent,0,no_match
2066,2023,3,North Texas,Florida International,SportsLine,0,no_match
2067,2023,3,North Texas,Florida International,TShoe Index,0,no_match
2068,2023,3,North Texas,Florida International,TeamRankings,0,no_match
2069,2023,3,North Texas,Florida International,Wilson Ratings,0,no_match
2274,2023,3,Texas A&M,Miami,Beta_Rank,0,no_match
2275,2023,3,Texas A&M,Miami,Blake Atkinson,0,no_match
2276,2023,3,Texas A&M,Miami,CBCR2: Power,0,no_match
2277,2023,3,Texas A&M,Miami,CBCR2: Sam,0,no_match
2278,2023,3,Texas A&M,Miami,CFB Geek,0,no_match
2279,2023,3,Texas A&M,Miami,CFB Graphs,0,no_match
2280,2023,3,Texas A&M,Miami,Congrove,0,no_match
2281,2023,3,Texas A&M,Miami,DRatings,0,no_match
2282,2023,3,Texas A&M,Miami,Dokter Entropy,0,no_match
2283,2023,3,Texas A&M,Miami,ESPN FPI,0,no_match
2284,2023,3,Texas A&M,Miami,FEI,0,no_match
2285,2023,3,Texas A&M,Miami,Harville,0,no_match
2286,2023,3,Texas A&M,Miami,JP+,0,no_match
2287,2023,3,Texas A&M,Miami,KFord,0,no_match
2288,2023,3,Texas A&M,Miami,Keeper,0,no_match
2289,2023,3,Texas A&M,Miami,Massey,0,no_match
2290,2023,3,Texas A&M,Miami,Moore Ratings,0,no_match
2291,2023,3,Texas A&M,Miami,OddsTrader AI,0,no_match
2292,2023,3,Texas A&M,Miami,PiRate,0,no_match
2293,2023,3,Texas A&M,Miami,PiRate: Bias,0,no_match
2294,2023,3,Texas A&M,Miami,PiRate: Mean,0,no_match
2295,2023,3,Texas A&M,Miami,Power Rank,0,no_match
2296,2023,3,Texas A&M,Miami,Power Rank: Free,0,no_match
2297,2023,3,Texas A&M,Miami,Professor Sides,0,no_match
2298,2023,3,Texas A&M,Miami,Room44 Bets,0,no_match
2299,2023,3,Texas A&M,Miami,SP+,0,no_match
2300,2023,3,Texas A&M,Miami,Sagarin,0,no_match
2301,2023,3,Texas A&M,Miami,Sagarin: Golden,0,no_match
2302,2023,3,Texas A&M,Miami,Sagarin: Predictor,0,no_match
2303,2023,3,Texas A&M,Miami,Sagarin: Recent,0,no_match
2304,2023,3,Texas A&M,Miami,SportsLine,0,no_match
2305,2023,3,Texas A&M,Miami,TShoe Index,0,no_match
2306,2023,3,Texas A&M,Miami,TeamRankings,0,no_match
2307,2023,3,Texas A&M,Miami,Wilson Ratings,0,no_match
2342,2023,3,Troy,Kansas State,Beta_Rank,0,no_match
2343,2023,3,Troy,Kansas State,Blake Atkinson,0,no_match
2344,2023,3,Troy,Kansas State,CBCR2: Power,0,no_match
2345,2023,3,Troy,Kansas State,CBCR2: Sam,0,no_match
2346,2023,3,Troy,Kansas State,CFB Geek,0,no_match
2347,2023,3,Troy,Kansas State,CFB Graphs,0,no_match
2348,2023,3,Troy,Kansas State,Congrove,0,no_match
2349,2023,3,Troy,Kansas State,DRatings,0,no_match
2350,2023,3,Troy,Kansas State,Dokter Entropy,0,no_match
2351,2023,3,Troy,Kansas State,ESPN FPI,0,no_match
2352,2023,3,Troy,Kansas State,FEI,0,no_match
2353,2023,3,Troy,Kansas State,Harville,0,no_match
2354,2023,3,Troy,Kansas State,JP+,0,no_match
2355,2023,3,Troy,Kansas State,KFord,0,no_match
2356,2023,3,Troy,Kansas State,Keeper,0,no_match
2357,2023,3,Troy,Kansas State,Massey,0,no_match
2358,2023,3,Troy,Kansas State,Moore Ratings,0,no_match
2359,2023,3,Troy,Kansas State,OddsTrader AI,0,no_match
2360,2023,3,Troy,Kansas State,PiRate,0,no_match
2361,2023,3,Troy,Kansas State,PiRate: Bias,0,no_match
2362,2023,3,Troy,Kansas State,PiRate: Mean,0,no_match
2363,2023,3,Troy,Kansas State,Power Rank,0,no_match
2364,2023,3,Troy,Kansas State,Power Rank: Free,0,no_match
2365,2023,3,Troy,Kansas State,Professor Sides,0,no_match
2366,2023,3,Troy,Kansas State,Room44 Bets,0,no_match
2367,2023,3,Troy,Kansas State,SP+,0,no_match
2368,2023,3,Troy,Kansas State,Sagarin,0,no_match
2369,2023,3,Troy,Kansas State,Sagarin: Golden,0,no_match
2370,2023,3,Troy,Kansas State,Sagarin: Predictor,0,no_match
2371,2023,3,Troy,Kansas State,Sagarin: Recent,0,no_match
