ranking_method,top_n,top_n_label,line_reference,edge_cutoff_points,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,profitable_folds
mae,5,5,Midweek,1.0,301,150,151,8,0.4983388704318937,0.44223089592076187,0.5544887119017927,-14.636363636363654,-0.04862579281183938,3
mae,5,5,Midweek,1.5,169,82,87,4,0.48520710059171596,0.4110256415729105,0.5600461374432522,-12.454545454545453,-0.07369553523399676,2
mae,5,5,Midweek,2.0,129,62,67,3,0.4806201550387597,0.3962152136207532,0.5661459744408179,-10.63636363636364,-0.08245243128964062,0
mae,5,5,Midweek,3.0,84,47,37,2,0.5595238095238095,0.4530690997323842,0.6607721782042654,5.727272727272727,0.06818181818181818,1
mae,5,5,Midweek,4.0,63,35,28,1,0.5555555555555556,0.43319420640871287,0.6715309946636732,3.8181818181818166,0.06060606060606058,1
mae,5,5,Open,0.0,1845,912,933,30,0.4943089430894309,0.4715305675905086,0.5171109688180188,-103.90909090909099,-0.05631929046563197,2
mae,5,5,Open,0.5,871,435,436,13,0.49942594718714123,0.46629544377108123,0.5325614921588061,-40.54545454545456,-0.04655046446091224,4
mae,5,5,Open,1.0,413,218,195,10,0.5278450363196125,0.47966229727600246,0.5755145372817767,3.181818181818187,0.00770416024653314,4
mae,5,5,Open,1.5,235,123,112,4,0.5234042553191489,0.45968425545691183,0.586371373043316,-0.18181818181818699,-0.0007736943907156893,3
mae,5,5,Open,2.0,148,79,69,2,0.5337837837837838,0.45357625226530063,0.6122818524965037,2.818181818181813,0.01904176904176901,4
mae,5,5,Open,3.0,82,44,38,1,0.5365853658536586,0.42944534622716574,0.6404508346455114,2.0,0.024390243902439025,2
mae,5,5,Open,4.0,54,32,22,0,0.5925925925925926,0.45966610248851525,0.7132198481075954,7.09090909090909,0.1313131313131313,1
mae,8,8,Close (PT Updated/final),0.0,2030,1011,1019,50,0.4980295566502463,0.4763030573326221,0.5197634996696539,-99.90909090909099,-0.04921630094043891,2
mae,8,8,Close (PT Updated/final),0.5,286,141,145,7,0.493006993006993,0.4355419304628945,0.5506574280832908,-16.818181818181813,-0.058804831532104244,3
mae,8,8,Close (PT Updated/final),1.0,47,24,23,0,0.5106382978723404,0.37242217589372884,0.6472467566339649,-1.1818181818181834,-0.02514506769825922,2
mae,8,8,Close (PT Updated/final),1.5,6,3,3,0,0.5,0.18761280689940868,0.8123871931005913,-0.27272727272727293,-0.04545454545454549,1
mae,8,8,Close (PT Updated/final),2.0,0,0,0,0,,,,0.0,,0
mae,8,8,Close (PT Updated/final),3.0,0,0,0,0,,,,0.0,,0
mae,8,8,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
mae,8,8,Midweek,0.0,2041,1032,1009,39,0.5056344928956394,0.48395341834901356,0.527294396640666,-70.81818181818187,-0.034697786290143,1
mae,8,8,Midweek,0.5,356,181,175,8,0.5084269662921348,0.45668235921819805,0.559991644009889,-10.454545454545467,-0.02936670071501536,2
mae,8,8,Midweek,1.0,66,34,32,2,0.5151515151515151,0.39710384843935753,0.6315323798257452,-1.0909090909090935,-0.01652892561983475,4
mae,8,8,Midweek,1.5,8,4,4,1,0.5,0.21521252682444186,0.7847874731755582,-0.36363636363636376,-0.04545454545454547,2
mae,8,8,Midweek,2.0,0,0,0,0,,,,0.0,,0
mae,8,8,Midweek,3.0,0,0,0,0,,,,0.0,,0
mae,8,8,Midweek,4.0,0,0,0,0,,,,0.0,,0
mae,8,8,Open,0.0,2048,1030,1018,32,0.5029296875,0.48128970948630734,0.5245586951858663,-81.63636363636363,-0.03986150568181818,2
